AVG,ROWNO,PREAVG_2,MM_0,PUM_NAME,PREAVG_1,MM_1,UNIT_NAME,MM_2,GRADE_NAME
"19,338",1,"9,611",202507,감귤,"19,900",202506,   5키로상자,202505,특
"17,056",2,"10,151",202507,감귤,"19,166",202506,   5키로상자,202505,상
"14,019",3,"9,313",202507,감귤,"17,429",202506,   5키로상자,202505,중
"11,180",4,"8,539",202507,감귤,"16,134",202506,   5키로상자,202505,하
"27,000",5,"43,000",202507,감귤,"37,880",202506,  10키로상자,202505,특
"27,000",6,"42,750",202507,감귤,"37,710",202506,  10키로상자,202505,상
"25,594",7,"41,688",202507,감귤,"36,538",202506,  10키로상자,202505,중
"23,917",8,"39,167",202507,감귤,"34,287",202506,  10키로상자,202505,하
"6,000",9,"6,000",202507,감귤 온주,"6,000",202506,   5키로상자,202505,특
"5,500",10,"5,500",202507,감귤 온주,"5,500",202506,   5키로상자,202505,상
"5,000",11,"5,000",202507,감귤 온주,"5,000",202506,   5키로상자,202505,중
"4,231",12,"4,231",202507,감귤 온주,"4,231",202506,   5키로상자,202505,하
"14,000",13,"14,000",202507,감귤 온주,"14,000",202506,  10키로상자,202505,특
"14,000",14,"14,000",202507,감귤 온주,"14,000",202506,  10키로상자,202505,상
"10,446",15,"10,446",202507,감귤 온주,"10,446",202506,  10키로상자,202505,중
"9,000",16,"9,000",202507,감귤 온주,"9,000",202506,  10키로상자,202505,하
"20,792",17,"29,815",202507,감귤 하우스,"24,653",202506,   3키로상자,202505,특
"19,424",18,"29,225",202507,감귤 하우스,"23,319",202506,   3키로상자,202505,상
"17,107",19,"25,924",202507,감귤 하우스,"21,290",202506,   3키로상자,202505,중
"14,518",20,"22,011",202507,감귤 하우스,"19,220",202506,   3키로상자,202505,하
"19,338",21,"29,000",202507,감귤 하우스,"24,820",202506,   5키로상자,202505,특
"17,056",22,"26,000",202507,감귤 하우스,"23,183",202506,   5키로상자,202505,상
"14,019",23,"19,025",202507,감귤 하우스,"19,955",202506,   5키로상자,202505,중
"11,180",24,"12,824",202507,감귤 하우스,"17,281",202506,   5키로상자,202505,하
"27,000",25,"26,000",202507,감귤 하우스,"26,320",202506,  10키로상자,202505,특
"27,000",26,"19,067",202507,감귤 하우스,"21,606",202506,  10키로상자,202505,상
"25,306",27,"11,000",202507,감귤 하우스,"15,578",202506,  10키로상자,202505,중
"23,375",28,"10,000",202507,감귤 하우스,"14,280",202506,  10키로상자,202505,하
"18,500",29,"30,148",202507,감자 대지마,"24,085",202506,  20키로상자,202505,특
"18,349",30,"25,389",202507,감자 대지마,"23,384",202506,  20키로상자,202505,상
"16,266",31,"14,346",202507,감자 대지마,"20,636",202506,  20키로상자,202505,중
"11,597",32,"9,456",202507,감자 대지마,"15,849",202506,  20키로상자,202505,하
"31,527",33,"59,507",202507,감자 수미,"31,795",202506,  20키로상자,202505,특
"26,993",34,"53,913",202507,감자 수미,"27,729",202506,  20키로상자,202505,상
"20,517",35,"42,538",202507,감자 수미,"22,275",202506,  20키로상자,202505,중
"11,672",36,"23,886",202507,감자 수미,"13,310",202506,  20키로상자,202505,하
"31,464",37,"30,615",202507,고구마,"32,008",202506,  10키로상자,202505,특
"25,348",38,"26,046",202507,고구마,"25,495",202506,  10키로상자,202505,상
"16,940",39,"19,069",202507,고구마,"16,869",202506,  10키로상자,202505,중
"6,921",40,"9,656",202507,고구마,"7,324",202506,  10키로상자,202505,하
"16,150",41,"24,000",202507,고추잎 일반,"11,443",202506,   4키로상자,202505,상
"15,010",42,"23,500",202507,고추잎 일반,"10,074",202506,   4키로상자,202505,중
"11,412",43,"19,467",202507,고추잎 일반,"8,491",202506,   4키로상자,202505,하
"8,344",44,"7,211",202507,근대,"4,452",202506,   4키로상자,202505,상
"5,970",45,"5,154",202507,근대,"3,032",202506,   4키로상자,202505,중
"4,552",46,"4,256",202507,근대,"2,281",202506,   4키로상자,202505,하
"40,000",47,"40,000",202507,금감(금귤),"40,000",202506,  10키로상자,202505,특
"35,000",48,"35,000",202507,금감(금귤),"35,000",202506,  10키로상자,202505,상
"30,500",49,"30,500",202507,금감(금귤),"30,500",202506,  10키로상자,202505,중
"25,000",50,"25,000",202507,금감(금귤),"25,000",202506,  10키로상자,202505,하
"139,114",51,"187,847",202507,깐마늘 대서,"171,508",202506,  20키로상자,202505,상
"128,550",52,"176,317",202507,깐마늘 대서,"162,140",202506,  20키로상자,202505,중
"113,243",53,"150,647",202507,깐마늘 대서,"143,898",202506,  20키로상자,202505,하
"102,495",54,"60,267",202507,깐쪽파,"88,271",202506,  10키로상자,202505,특
"94,308",55,"54,421",202507,깐쪽파,"80,734",202506,  10키로상자,202505,상
"67,868",56,"44,740",202507,깐쪽파,"58,920",202506,  10키로상자,202505,중
"45,090",57,"32,243",202507,깐쪽파,"36,752",202506,  10키로상자,202505,하
"20,294",58,"19,086",202507,깻잎,"12,692",202506,   2키로상자,202505,상
"18,367",59,"16,941",202507,깻잎,"11,328",202506,   2키로상자,202505,중
"15,832",60,"14,340",202507,깻잎,"8,974",202506,   2키로상자,202505,하
"23,105",61,"20,079",202507,깻잎,"12,952",202506,   3키로상자,202505,상
"18,937",62,"17,039",202507,깻잎,"11,105",202506,   3키로상자,202505,중
