AVG,ROWNO,PREAVG_2,MM_0,PUM_NAME,PREAVG_1,MM_1,UNIT_NAME,MM_2,GRADE_NAME
19338,1,9611,202507,감귤,19900,202506,   5키로상자,202505,특
17056,2,10151,202507,감귤,19166,202506,   5키로상자,202505,상
14019,3,9313,202507,감귤,17429,202506,   5키로상자,202505,중
11180,4,8539,202507,감귤,16134,202506,   5키로상자,202505,하
27000,5,43000,202507,감귤,37880,202506,  10키로상자,202505,특
27000,6,42750,202507,감귤,37710,202506,  10키로상자,202505,상
25594,7,41688,202507,감귤,36538,202506,  10키로상자,202505,중
23917,8,39167,202507,감귤,34287,202506,  10키로상자,202505,하
6000,9,6000,202507,감귤 온주,6000,202506,   5키로상자,202505,특
5500,10,5500,202507,감귤 온주,5500,202506,   5키로상자,202505,상
5000,11,5000,202507,감귤 온주,5000,202506,   5키로상자,202505,중
4231,12,4231,202507,감귤 온주,4231,202506,   5키로상자,202505,하
14000,13,14000,202507,감귤 온주,14000,202506,  10키로상자,202505,특
14000,14,14000,202507,감귤 온주,14000,202506,  10키로상자,202505,상
10446,15,10446,202507,감귤 온주,10446,202506,  10키로상자,202505,중
9000,16,9000,202507,감귤 온주,9000,202506,  10키로상자,202505,하
20792,17,29815,202507,감귤 하우스,24653,202506,   3키로상자,202505,특
19424,18,29225,202507,감귤 하우스,23319,202506,   3키로상자,202505,상
17107,19,25924,202507,감귤 하우스,21290,202506,   3키로상자,202505,중
14518,20,22011,202507,감귤 하우스,19220,202506,   3키로상자,202505,하
19338,21,29000,202507,감귤 하우스,24820,202506,   5키로상자,202505,특
17056,22,26000,202507,감귤 하우스,23183,202506,   5키로상자,202505,상
14019,23,19025,202507,감귤 하우스,19955,202506,   5키로상자,202505,중
11180,24,12824,202507,감귤 하우스,17281,202506,   5키로상자,202505,하
27000,25,26000,202507,감귤 하우스,26320,202506,  10키로상자,202505,특
27000,26,19067,202507,감귤 하우스,21606,202506,  10키로상자,202505,상
25306,27,11000,202507,감귤 하우스,15578,202506,  10키로상자,202505,중
23375,28,10000,202507,감귤 하우스,14280,202506,  10키로상자,202505,하
18500,29,30148,202507,감자 대지마,24085,202506,  20키로상자,202505,특
18349,30,25389,202507,감자 대지마,23384,202506,  20키로상자,202505,상
16266,31,14346,202507,감자 대지마,20636,202506,  20키로상자,202505,중
11597,32,9456,202507,감자 대지마,15849,202506,  20키로상자,202505,하
31527,33,59507,202507,감자 수미,31795,202506,  20키로상자,202505,특
26993,34,53913,202507,감자 수미,27729,202506,  20키로상자,202505,상
20517,35,42538,202507,감자 수미,22275,202506,  20키로상자,202505,중
11672,36,23886,202507,감자 수미,13310,202506,  20키로상자,202505,하
31464,37,30615,202507,고구마,32008,202506,  10키로상자,202505,특
25348,38,26046,202507,고구마,25495,202506,  10키로상자,202505,상
16940,39,19069,202507,고구마,16869,202506,  10키로상자,202505,중
6921,40,9656,202507,고구마,7324,202506,  10키로상자,202505,하
16150,41,24000,202507,고추잎 일반,11443,202506,   4키로상자,202505,상
15010,42,23500,202507,고추잎 일반,10074,202506,   4키로상자,202505,중
11412,43,19467,202507,고추잎 일반,8491,202506,   4키로상자,202505,하
8344,44,7211,202507,근대,4452,202506,   4키로상자,202505,상
5970,45,5154,202507,근대,3032,202506,   4키로상자,202505,중
4552,46,4256,202507,근대,2281,202506,   4키로상자,202505,하
40000,47,40000,202507,금감(금귤),40000,202506,  10키로상자,202505,특
35000,48,35000,202507,금감(금귤),35000,202506,  10키로상자,202505,상
30500,49,30500,202507,금감(금귤),30500,202506,  10키로상자,202505,중
25000,50,25000,202507,금감(금귤),25000,202506,  10키로상자,202505,하
139114,51,187847,202507,깐마늘 대서,171508,202506,  20키로상자,202505,상
128550,52,176317,202507,깐마늘 대서,162140,202506,  20키로상자,202505,중
113243,53,150647,202507,깐마늘 대서,143898,202506,  20키로상자,202505,하
102495,54,60267,202507,깐쪽파,88271,202506,  10키로상자,202505,특
94308,55,54421,202507,깐쪽파,80734,202506,  10키로상자,202505,상
67868,56,44740,202507,깐쪽파,58920,202506,  10키로상자,202505,중
45090,57,32243,202507,깐쪽파,36752,202506,  10키로상자,202505,하
20294,58,19086,202507,깻잎,12692,202506,   2키로상자,202505,상
18367,59,16941,202507,깻잎,11328,202506,   2키로상자,202505,중
15832,60,14340,202507,깻잎,8974,202506,   2키로상자,202505,하
23105,61,20079,202507,깻잎,12952,202506,   3키로상자,202505,상
18937,62,17039,202507,깻잎,11105,202506,   3키로상자,202505,중
14164,63,14094,202507,깻잎,8881,202506,   3키로상자,202505,하
27138,64,24093,202507,꽈리고추,25098,202506,   4키로상자,202505,특
23481,65,19414,202507,꽈리고추,20320,202506,   4키로상자,202505,상
19247,66,15449,202507,꽈리고추,15298,202506,   4키로상자,202505,중
13870,67,12577,202507,꽈리고추,11070,202506,   4키로상자,202505,하
17019,68,20648,202507,노각오이,23020,202506,  15키로상자,202505,특
15560,69,20403,202507,노각오이,21580,202506,  15키로상자,202505,상
13614,70,19851,202507,노각오이,19161,202506,  15키로상자,202505,중
9125,71,18319,202507,노각오이,16945,202506,  15키로상자,202505,하
12138,72,22087,202507,노랑파프리카,20628,202506,   5키로상자,202505,상
10827,73,20780,202507,노랑파프리카,19116,202506,   5키로상자,202505,중
